brand_id,entity_type,entity_id,parent_adgroup_id,name,status,campaign_type,daily_budget_krw,created_at,updated_at
entropy,ad,grp-a001-02-000000063834603,grp-a001-02-000000063834603,nad-a001-02-000000488289493,ELIGIBLE,,0,2026-03-11T11:40:12.000Z,2026-06-08T06:23:11.000Z
entropy,ad,grp-a001-02-000000063834713,grp-a001-02-000000063834713,nad-a001-02-000000488291540,ELIGIBLE,,0,2026-03-11T11:52:20.000Z,2026-05-19T12:32:55.000Z
entropy,ad,grp-a001-02-000000063834765,grp-a001-02-000000063834765,nad-a001-02-000000488291552,ELIGIBLE,,0,2026-03-11T11:52:33.000Z,2026-05-19T12:34:27.000Z
entropy,ad,grp-a001-02-000000063834766,grp-a001-02-000000063834766,nad-a001-02-000000488291559,ELIGIBLE,,0,2026-03-11T11:52:40.000Z,2026-06-08T10:22:57.000Z
entropy,ad,grp-a001-02-000000063834767,grp-a001-02-000000063834767,nad-a001-02-000000488291581,PAUSED,,0,2026-03-11T11:53:00.000Z,2026-05-13T02:46:29.000Z
entropy,ad,grp-a001-02-000000063834880,grp-a001-02-000000063834880,nad-a001-02-000000488291592,ELIGIBLE,,0,2026-03-11T11:53:12.000Z,2026-05-13T02:46:16.000Z
entropy,ad,grp-a001-02-000000063834881,grp-a001-02-000000063834881,nad-a001-02-000000488291945,ELIGIBLE,,0,2026-03-11T11:54:08.000Z,2026-06-08T17:32:02.000Z
entropy,ad,grp-a001-02-000000063834882,grp-a001-02-000000063834882,nad-a001-02-000000488292131,ELIGIBLE,,0,2026-03-11T11:54:19.000Z,2026-06-08T17:31:05.000Z
entropy,ad,grp-a001-02-000000063834883,grp-a001-02-000000063834883,nad-a001-02-000000488292138,ELIGIBLE,,0,2026-03-11T11:54:27.000Z,2026-05-30T17:25:07.000Z
entropy,ad,grp-a001-02-000000063834884,grp-a001-02-000000063834884,nad-a001-02-000000488292190,PAUSED,,0,2026-03-11T11:54:37.000Z,2026-04-10T10:24:06.000Z
entropy,ad,grp-a001-02-000000063834952,grp-a001-02-000000063834952,nad-a001-02-000000488292965,PAUSED,,0,2026-03-11T11:55:53.000Z,2026-05-13T02:43:30.000Z
entropy,ad,grp-a001-02-000000063834953,grp-a001-02-000000063834953,nad-a001-02-000000488293162,ELIGIBLE,,0,2026-03-11T11:56:05.000Z,2026-05-19T12:28:27.000Z
entropy,ad,grp-a001-02-000000063834954,grp-a001-02-000000063834954,nad-a001-02-000000488293311,ELIGIBLE,,0,2026-03-11T11:56:31.000Z,2026-05-13T02:37:49.000Z
entropy,ad,grp-a001-02-000000063834955,grp-a001-02-000000063834955,nad-a001-02-000000488293712,ELIGIBLE,,0,2026-03-11T11:56:45.000Z,2026-05-19T12:32:33.000Z
entropy,ad,grp-a001-02-000000063834956,grp-a001-02-000000063834956,nad-a001-02-000000488293713,ELIGIBLE,,0,2026-03-11T11:56:53.000Z,2026-05-19T10:20:54.000Z
entropy,ad,grp-a001-02-000000063834957,grp-a001-02-000000063834957,nad-a001-02-000000488293932,ELIGIBLE,,0,2026-03-11T11:57:02.000Z,2026-05-19T12:30:35.000Z
entropy,ad,grp-a001-02-000000063834958,grp-a001-02-000000063834958,nad-a001-02-000000500986459,ELIGIBLE,,0,2026-04-06T05:48:54.000Z,2026-05-19T12:31:55.000Z
entropy,ad,grp-a001-02-000000063845295,grp-a001-02-000000063845295,nad-a001-02-000000488580512,PAUSED,,0,2026-03-12T00:59:45.000Z,2026-04-28T02:31:11.000Z
entropy,ad,grp-a001-02-000000063846708,grp-a001-02-000000063846708,nad-a001-02-000000488616714,PAUSED,,0,2026-03-12T01:38:14.000Z,2026-06-07T23:25:57.000Z
entropy,ad,grp-a001-02-000000063846733,grp-a001-02-000000063846733,nad-a001-02-000000488621883,ELIGIBLE,,0,2026-03-12T01:39:49.000Z,2026-05-08T08:22:03.000Z
entropy,ad,grp-a001-02-000000063846739,grp-a001-02-000000063846739,nad-a001-02-000000488630518,ELIGIBLE,,0,2026-03-12T01:42:49.000Z,2026-04-27T07:22:56.000Z
entropy,ad,grp-a001-02-000000063846759,grp-a001-02-000000063846759,nad-a001-02-000000488632476,ELIGIBLE,,0,2026-03-12T01:44:45.000Z,2026-04-27T07:22:44.000Z
entropy,ad,grp-a001-02-000000063846942,grp-a001-02-000000063846942,nad-a001-02-000000488649161,PAUSED,,0,2026-03-12T01:57:28.000Z,2026-04-27T02:29:01.000Z
entropy,ad,grp-a001-02-000000063846943,grp-a001-02-000000063846943,nad-a001-02-000000488637854,ELIGIBLE,,0,2026-03-12T01:47:44.000Z,2026-04-27T07:23:03.000Z
entropy,ad,grp-a001-02-000000063847010,grp-a001-02-000000063847010,nad-a001-02-000000501011703,PAUSED,,0,2026-04-06T06:24:19.000Z,2026-04-14T07:23:58.000Z
entropy,ad,grp-a001-02-000000063847011,grp-a001-02-000000063847011,nad-a001-02-000000488638983,PAUSED,,0,2026-03-12T01:49:31.000Z,2026-04-27T02:29:07.000Z
entropy,ad,grp-a001-02-000000063847060,grp-a001-02-000000063847060,nad-a001-02-000000488643715,ELIGIBLE,,0,2026-03-12T01:52:53.000Z,2026-04-27T07:22:47.000Z
entropy,ad,grp-a001-02-000000063847080,grp-a001-02-000000063847080,nad-a001-02-000000488646283,ELIGIBLE,,0,2026-03-12T01:55:34.000Z,2026-06-09T02:30:34.000Z
entropy,ad,grp-a001-02-000000063847102,grp-a001-02-000000063847102,nad-a001-02-000000488646411,ELIGIBLE,,0,2026-03-12T01:56:15.000Z,2026-05-17T16:20:36.000Z
entropy,ad,grp-a001-02-000000063872850,grp-a001-02-000000063872850,nad-a001-02-000000488962142,ELIGIBLE,,0,2026-03-12T11:31:20.000Z,2026-05-19T10:20:54.000Z
entropy,ad,grp-a001-02-000000063873830,grp-a001-02-000000063873830,nad-a001-02-000000488971614,ELIGIBLE,,0,2026-03-12T11:46:12.000Z,2026-05-28T23:19:57.000Z
entropy,ad,grp-a001-02-000000063874063,grp-a001-02-000000063874063,nad-a001-02-000000488973070,PAUSED,,0,2026-03-12T11:50:14.000Z,2026-04-28T02:31:11.000Z
entropy,ad,grp-a001-02-000000063874064,grp-a001-02-000000063874064,nad-a001-02-000000488973074,PAUSED,,0,2026-03-12T11:50:15.000Z,2026-04-28T02:31:11.000Z
entropy,ad,grp-a001-02-000000063921699,grp-a001-02-000000063921699,nad-a001-02-000000489380549,ELIGIBLE,,0,2026-03-13T05:51:19.000Z,2026-06-09T02:30:34.000Z
entropy,ad,grp-a001-02-000000063921701,grp-a001-02-000000063921701,nad-a001-02-000000489380557,ELIGIBLE,,0,2026-03-13T05:51:19.000Z,2026-05-17T16:20:36.000Z
